cell_id,cycle,Q_discharge
matr_b1c0,1,0.0
matr_b1c0,2,1.0706892
matr_b1c0,3,1.0719005
matr_b1c0,4,1.0725095
matr_b1c0,5,1.073174
matr_b1c0,6,1.0735761
matr_b1c0,7,1.0739917
matr_b1c0,8,1.0743741
matr_b1c0,9,1.0744922
matr_b1c0,10,1.0745373
matr_b1c0,11,1.0747814
matr_b1c0,12,1.5390544
matr_b1c0,13,1.0738269
matr_b1c0,14,1.0750562
matr_b1c0,15,1.0730921
matr_b1c0,16,1.0758405
matr_b1c0,17,1.072405
matr_b1c0,18,1.0761998
matr_b1c0,19,1.0761871
matr_b1c0,20,1.0764284
matr_b1c0,21,1.0765469
matr_b1c0,22,1.0766536
matr_b1c0,23,1.0766355
matr_b1c0,24,1.0754509
matr_b1c0,25,1.0766494
matr_b1c0,26,1.076545
matr_b1c0,27,1.0765674
matr_b1c0,28,1.0765301
matr_b1c0,29,1.0764797
matr_b1c0,30,1.0765879
matr_b1c0,31,1.0766202
matr_b1c0,32,1.0766256
matr_b1c0,33,1.0766001
matr_b1c0,34,1.0766319
matr_b1c0,35,1.0766066
matr_b1c0,36,1.076661
matr_b1c0,37,1.0766382
matr_b1c0,38,1.0766717
matr_b1c0,39,1.0766507
matr_b1c0,40,1.0767151
matr_b1c0,41,1.0766989
matr_b1c0,42,1.0766598
matr_b1c0,43,1.0766748
matr_b1c0,44,1.0768414
matr_b1c0,45,1.0766555
matr_b1c0,46,1.0766659
matr_b1c0,47,1.0766661
matr_b1c0,48,1.0743055
matr_b1c0,49,1.0768253
matr_b1c0,50,1.0767562
matr_b1c0,51,1.0767081
matr_b1c0,52,1.076677
matr_b1c0,53,1.0767009
matr_b1c0,54,1.076785
matr_b1c0,55,1.076645
matr_b1c0,56,1.0766542
matr_b1c0,57,1.0753976
matr_b1c0,58,1.0765858
matr_b1c0,59,1.0752628
matr_b1c0,60,1.0767044
matr_b1c0,61,1.0769024
matr_b1c0,62,1.0770562
matr_b1c0,63,1.0770824
matr_b1c0,64,1.0769807
matr_b1c0,65,1.0765196
matr_b1c0,66,1.0765632
matr_b1c0,67,1.0766724
matr_b1c0,68,1.0765343
matr_b1c0,69,1.0766476
matr_b1c0,70,1.0766002
matr_b1c0,71,1.0753345
matr_b1c0,72,1.0763972
matr_b1c0,73,1.07514
matr_b1c0,74,1.0763736
matr_b1c0,75,1.0762513
matr_b1c0,76,1.0763264
matr_b1c0,77,1.0762902
matr_b1c0,78,1.0763192
matr_b1c0,79,1.0762045
matr_b1c0,80,1.0762365
matr_b1c0,81,1.0762444
matr_b1c0,82,1.0761995
matr_b1c0,83,1.0761882
