dataset,cell_id,n_cycles,q0,cycle_life,is_censored,capacity_normalized,Qdis_N,delta_Qdis,retention_ratio,slope_linear,variance_Qdis,range_Qdis,max_drop,std_diff,skewness_Qdis,slope_ratio,Qdis_cycle10,mean_diff,poly2_a,poly2_b,poly2_c,exp_decay_k,cycle_to_99pct,cycle_to_98pct,cycle_to_95pct,slope_first_quarter,slope_last_quarter,autocorr_lag1,knee_cycle,n_capacity_jumps,accel_mean,accel_std,accel_max_abs,linearity_r2,kurtosis_Qdis,fft_top3_energy_ratio,spectral_entropy,sample_entropy,pos_neg_diff_ratio,mad_Qdis
matr,matr_b1c0,50,1.0722049999999999,1717.0,0,0,1.0767562,0.006067000000000045,1.0056664436327554,-0.0005810218163265303,0.004296393889083139,0.46836520000000004,0.4652274999999999,0.09487296270700175,6.777887659211432,0.02273127473763146,1.0745373,0.00012639583333333426,1.0976474659305255,-0.0003058408140532786,-5.29194235140887e-06,0.0005350370525723958,50.0,50.0,50.0,0.01491171433566437,-5.1687412587359895e-05,-0.5010806304770764,12.0,1.0,-2.724255319149322e-05,0.16612345379984883,0.9295004999999998,0.0157148697145838,48.941454386048264,0.1294238873246696,3.177440508153188,0.08991413664759113,1.6666666666666667,0.00013900000000011126
matr,matr_b1c0,100,1.0722049999999999,1717.0,0,0,1.0759126,0.005223400000000211,1.0048785399161588,-0.00020680701298701008,0.002146154811085523,0.46836520000000004,0.4652274999999999,0.06639872259249803,9.78848865170264,0.03316207587116381,1.0745373,5.3300000000002156e-05,1.100267286648048,-0.0007283477559162899,5.113144538522571e-06,0.0001919746646677357,100.0,100.0,100.0,-0.00041110760869568735,-2.525521739131246e-05,-0.5010846333961513,12.0,1.0,-1.2135051546389896e-05,0.11563898084247452,0.9295004999999998,0.016274749298800684,98.86458469455586,0.06423003693257583,3.891094833280507,0.042330807645117284,1.2790697674418605,0.00030120000000000147
matr,matr_b1c1,50,1.0769552999999998,2066.0,0,0,1.0817146,0.0064134000000000135,1.005964282379672,6.785757142858327e-05,2.7064959767347575e-06,0.009288300000000138,0.002288600000000196,0.0007790690827373,-1.815362787770751,-0.03995956149865903,1.0797766,0.00013361250000000027,1.0768560294042555,0.00035388747564555614,-5.500575081095978e-06,-6.270813589348675e-05,50.0,50.0,50.0,0.0006275797202797572,-9.730769230690091e-07,-0.23720551426542597,12.0,0.0,-3.0431914893616924e-05,0.0012255631480395774,0.006862800000000391,0.3402665320595849,3.8337311351779793,0.6968764921261478,2.1502459040676443,0.06369499514913196,1.2857142857142858,9.039999999993498e-05
matr,matr_b1c1,100,1.0769552999999998,2066.0,0,0,1.0806297,0.005328500000000069,1.004955355764506,5.535292517013074e-06,1.4041046779757487e-06,0.009288300000000138,0.002288600000000196,0.0005547671347807154,-2.4223737508202228,-0.3362150547761769,1.0797766,5.4372448979592546e-05,1.079145414343502,0.00010952644776636288,-1.0195211298956448e-06,-5.116264040713386e-06,100.0,100.0,100.0,0.0002493732608695488,-2.0660608695684157e-05,-0.20901462756423994,12.0,0.0,-1.3713402061855135e-05,0.0008575152320043289,0.006862800000000391,0.01782077128031434,9.242943158093741,0.5218547298827702,2.615531455591912,0.1433785828453472,0.7192982456140351,0.0003188999999998998
matr,matr_b1c10,50,1.07650055,,1,0,1.0824872,0.007211500000000148,1.0067066520707202,0.00010991155102041892,4.377684052353243e-06,0.009695600000000137,0.009142300000000159,0.0016383652633468447,-1.355642320057297,0.0015585017080983518,1.0795403,0.00015023958333333642,1.0757860644585322,0.0003905600044443355,-5.39708564276822e-06,-0.0001015747878166541,50.0,50.0,50.0,0.0004205982517482778,-5.24125874105739e-07,-0.5939101719185451,12.0,0.0,-1.8431914893616734e-05,0.0029539091125408527,0.014382100000000175,0.5519150721358239,1.2745867221807172,0.5967787744619488,2.2558473996129993,0.07979691684029701,2.6923076923076925,0.0002594000000000207
matr,matr_b1c10,100,1.07650055,,1,0,1.0816405,0.006364800000000059,1.0059192261110337,2.5291880024754693e-05,2.4687458220936956e-06,0.009695600000000137,0.009142300000000159,0.001151115953414319,-2.383608653802784,-0.1968136291012932,1.0795403,6.49469387755108e-05,1.0779010077256461,0.0001689869519325411,-1.4087752147822585e-06,-2.3361664451798187e-05,100.0,100.0,100.0,0.0002648993913043486,-1.92796521739532e-05,-0.5833372828969716,12.0,0.0,-1.0296907216495643e-05,0.002057024864879571,0.014382100000000175,0.21160731550130418,6.164470114908985,0.5759383511879863,2.6896477897296256,0.09565317414828088,1.1777777777777778,0.00031199999999986794
matr,matr_b1c11,50,1.0554554999999999,771.0,0,0,1.0607976,0.0070189999999998864,1.0066607919348523,9.816020408164078e-05,3.5996696765264718e-06,0.009460400000000035,0.008566500000000143,0.0015459498664465233,-1.4303624519339841,0.0320612973415997,1.0581003,0.0001462291666666643,1.0548403771602257,0.00034516671221681747,-4.750125156446319e-06,-9.256795324513491e-05,50.0,50.0,50.0,0.0003885006993006933,2.397552447566382e-06,-0.5840992579624098,12.0,0.0,-2.547021276596113e-05,0.0027759781955360523,0.013589400000000085,0.5353505477561262,1.836759708492278,0.5647935093815527,2.358016119185025,0.07539801748421174,2.6923076923076925,0.00024420000000002773
matr,matr_b1c11,100,1.0554554999999999,771.0,0,0,1.0599719,0.006193300000000068,1.00587723075796,2.1809402597413307e-05,2.036413854143478e-06,0.009460400000000035,0.008566500000000143,0.0010867777356126263,-2.42208334249377,-0.23709502986820416,1.0581003,6.31969387755109e-05,1.056657991240569,0.00015406537423538782,-1.2966271729213456e-06,-2.055690862159284e-05,100.0,100.0,100.0,0.00023985065217390063,-2.331386956525006e-05,-0.5725285121808454,12.0,0.0,-1.2672164948451746e-05,0.0019334133780069416,0.013589400000000085,0.19075078144275692,6.9363075991435,0.5599274457465927,2.7290209736317803,0.10657337208303562,1.0851063829787233,0.0002815000000000456
matr,matr_b1c12,50,1.0790142999999999,897.0,0,0,1.0827541,0.005188100000000029,1.004814647084262,6.365734693879073e-05,1.2447425689795823e-06,0.005196699999999943,6.94999999999446e-05,0.00020091560623553082,-2.095008050391722,0.11822840499797962,1.081143,0.00010808541666666727,1.0788147093443334,0.00021951529028630009,-2.9972681412988595e-06,-5.8812609315249886e-05,50.0,50.0,50.0,0.0003305013986014138,3.969580419625923e-06,0.6250880411767012,12.0,0.0,-2.2372340425531553e-05,0.00010035942789224484,0.00037809999999960375,0.651099740664542,4.788971463081005,0.678473291071915,2.159667353449911,0.10309550902697412,3.8,0.0003817999999999877
matr,matr_b1c12,100,1.0790142999999999,897.0,0,0,1.0819131,0.004347099999999937,1.0040341844490268,1.2573115646269797e-05,7.452280068339932e-07,0.005827599999999933,0.00041439999999992594,0.00016711051697107128,-2.8727617859554,-0.35429604441688173,1.081143,4.435816326530548e-05,1.0799226796984607,0.00010353935487404504,-8.918258747821334e-07,-1.1612357725158438e-05,100.0,100.0,100.0,0.00015944560869561843,-1.704552173912831e-05,0.6240719972141918,19.0,0.0,-1.1573195876290677e-05,9.944167695985185e-05,0.00045519999999998895,0.17323733015537168,10.804904252853214,0.6621582432142569,2.2378239345672517,0.14610445835162908,1.3333333333333333,0.0002862999999999616
matr,matr_b1c13,50,1.0814757,,1,0,1.0846964,0.004907099999999831,1.004544497708951,5.4079306122448796e-05,1.0766743777759155e-06,0.0051266999999999285,5.849999999996136e-05,0.00023040213862238743,-2.4901409728554533,0.02099411000378944,1.0836941,0.00010223124999999648,1.0812673682970042,0.00022108063124824868,-3.2115639447274217e-06,-4.985574851376492e-05,50.0,50.0,50.0,0.00033616293706294117,-2.0105944055911293e-05,0.6300165480632977,12.0,0.0,-2.7338297872343495e-05,0.00010095779095517788,0.0004284999999999428,0.5432601371506021,7.1150974355120145,0.6601842104851071,2.199669983427459,0.1032995698378037,2.2,0.00018389999999990359
