cell_id,dataset_prefix,n_cycles,cycle_life,Qd_mean,Qd_std,IR_mean,IR_std,IR_delta,IR_slope,Tavg_mean,dQd_slope
b1c0,b1,25,1190.0,1.050162108,0.23286203825468146,0.01604543288,0.0033073018000786595,0.016572051,0.00014776095230769202,30.398941981871612,0.009734040461538451
b1c0,b1,50,1190.0,1.063358666,0.1651866283509057,0.01632425832,0.002355214431864007,0.016621681,3.530063510204082e-05,30.978519928463566,0.0020062379687875043
b1c0,b1,100,1190.0,1.0697906089999998,0.11698210949029265,0.01647688882,0.001672830600416183,0.016667154,9.294473111311103e-06,31.28770985553454,0.00044127432883288184
b1c1,b1,25,1179.0,1.0373503960000001,0.21175879942254391,0.015537112519999998,0.004581893225569955,0.016898235,0.0001663935846153842,30.24617377107907,0.010195122461538463
b1c1,b1,50,1179.0,1.0596138279999998,0.1513821647506879,0.01622508702,0.0033121626235516244,0.016904702,6.19654286194479e-05,30.745152082666554,0.0026079567731092518
b1c1,b1,100,1179.0,1.0704344110000001,0.10758916642883978,0.016583334979999996,0.002369597441241305,0.01699684,1.869190525052503e-05,31.017011163858175,0.0006476957569756996
b1c10,b1,25,906.0,1.0367039200000001,0.21162889519546993,0.01519391908,0.004480623565198139,0.016520184,0.00016434270615384595,31.937202622933146,0.010202641000000002
b1c10,b1,50,906.0,1.059588522,0.1513839592196852,0.01586231798,0.003238035802784994,0.016550977,6.079326775510199e-05,32.5264227836059,0.0026474762304922006
b1c10,b1,100,906.0,1.070887572,0.10763960414374915,0.01623268906,0.0023198582954067812,0.016675979,1.9048915463546303e-05,32.87606916177769,0.0006671374389438915
b1c11,b1,25,788.0,1.0161635480000002,0.2074345104775348,0.0149578708,0.004414026017058232,0.016136453,0.00014383793923076907,31.500508991486317,0.00998297892307691
b1c11,b1,50,788.0,1.03846053,0.14836339339647533,0.015550885700000001,0.0031770370038328184,0.016156863,5.366209503001214e-05,32.07812027438441,0.002585688667466981
b1c11,b1,100,788.0,1.049483047,0.105486571258053,0.01587671327,0.002270632352736725,0.0162715,1.6853213951395083e-05,32.4317293801687,0.0006509144020402038
b1c12,b1,25,902.0,1.0379415,0.21187240793845524,0.015774163800000005,0.003220098760040368,0.01642056,0.00014812625230769234,32.04395405317677,0.010121254769230766
b1c12,b1,50,902.0,1.06025857,0.15146953676326372,0.01609379956,0.0022992953777801594,0.016425503,3.767969786314517e-05,32.7154514180094,0.0026055516206482427
b1c12,b1,100,902.0,1.071333671,0.10767651115586845,0.016274665669999997,0.0016365674618405383,0.016531222,1.059726580858083e-05,33.12344169500137,0.0006550641458145817
b1c13,b1,25,897.0,1.040262164,0.21234600783641377,0.01634603724,0.0033368523221061525,0.01700953,0.0001533287146153844,30.717414016852896,0.010137545153846156
b1c13,b1,50,897.0,1.062518092,0.1517917745163931,0.016681288000000002,0.002383222434554047,0.017027462,3.94016881632654e-05,31.365260832695217,0.0026019620168067207
b1c13,b1,100,897.0,1.073430505,0.10788692474131642,0.01686618544,0.001696873159013291,0.01714633,1.112547391539149e-05,31.771244679727488,0.0006484489558955875
b1c14,b1,25,880.0,1.031491084,0.2105574491956923,0.01633488456,0.003346511094477807,0.01690465,0.00014930629538461522,31.763813160997593,0.010053379
b1c14,b1,50,880.0,1.053992784,0.15057741356278687,0.01663472034,0.002385296667773714,0.016963098,3.694391255702274e-05,32.37269099210505,0.002608329891956774
b1c14,b1,100,880.0,1.065341888,0.10707777808608962,0.01680525182,0.0016967550464953116,0.017053071,1.0077067110710994e-05,32.746688171939034,0.0006647239531953216
b1c15,b1,25,719.0,1.023179456,0.20886288056571298,0.01619668296,0.003320160587740111,0.016733406,0.00013909726692307698,31.738493317351377,0.010002446230769227
b1c15,b1,50,719.0,1.045653832,0.14938864626965653,0.016483526260000003,0.0023652221569589343,0.016804634,3.495914751500589e-05,32.38646720800082,0.002601110722689076
