cell_id,dataset_prefix,source_batch,n_cycles,cycle_life,eol_80pct_q0_label,is_censored_80pct_q0,eol_85pct_q0_label,is_censored_85pct_q0,Qd_mean,Qd_std,dQd_slope,dqdv_peak_delta,dqdv_peak_std,dqdv_area_delta,dqdv_peakpos_delta
hust_1-1,hust,hust,25,1187.0,1347.0,0,1187.0,0,1.1697476782222223,0.00184825681079275,-0.00024753740170940303,-15.751106079706467,3.4825283877290087,-42.21957071966193,0.01005025125628145
hust_1-1,hust,hust,50,1187.0,1347.0,0,1187.0,0,1.167726203111111,0.0024908669914205195,-0.0001676064932639589,-5.134884004542187,3.9917537452686207,-29.245947565040467,0.005025125628140725
hust_1-1,hust,hust,100,1187.0,1347.0,0,1187.0,0,1.1645327668888887,0.003809741795386018,-0.00013013259392606713,-5.446375345304759,3.9251938347048463,10.272209731739395,0.005025125628140725
hust_1-2,hust,hust,25,1944.0,2244.0,0,1944.0,0,1.2002824995555557,0.0021496922927447216,-0.00028821834188031775,-11.922006580273106,4.201101777472691,-172.07377095629653,0.005025125628140725
hust_1-2,hust,hust,50,1944.0,2244.0,0,1944.0,0,1.1979050182222222,0.0029246839360318306,-0.00019725904975322772,-9.85768111553518,4.124609028331837,-116.53795417545393,0.025125628140703515
hust_1-2,hust,hust,100,1944.0,2244.0,0,1944.0,0,1.1943125464444442,0.00430846288746609,-0.0001467101668833619,-2.8451823482701855,4.405038660845905,-67.92602149697825,0.015075376884422176
hust_1-3,hust,hust,25,1504.0,1687.0,0,1504.0,0,1.1759874284444445,0.006977155619021968,0.0009392669572649669,-25.719780744034907,9.822072200390723,-144.10618383452925,0.005025125628140614
hust_1-3,hust,hust,50,1504.0,1687.0,0,1504.0,0,1.1813224862222222,0.007297104402819804,0.00045159936828065186,3.1191915380822266,8.60152789949675,-57.11331279562751,0.015075376884422065
hust_1-3,hust,hust,100,1504.0,1687.0,0,1504.0,0,1.1832430406666667,0.005608914740562944,0.0001011462824949112,-1.317173219351126,8.10489436804128,-72.21403475702027,0.03015075376884413
hust_1-4,hust,hust,25,1203.0,1352.0,0,1203.0,0,1.1756053297777778,0.006635810607367908,0.0008987328376068297,0.4984639010304406,7.812536577455962,-69.97843112951477,0.01005025125628134
hust_1-4,hust,hust,50,1203.0,1352.0,0,1203.0,0,1.1808520751111111,0.007080875754398067,0.0004444756814725803,-11.66028308170199,7.297721574601943,-189.69127465988606,-0.01005025125628145
hust_1-4,hust,hust,100,1203.0,1352.0,0,1203.0,0,1.1828161384444447,0.005491310774800542,0.00010108339833983001,-15.244878073556627,6.896535055450762,-198.25784195748872,-0.01005025125628145
hust_1-5,hust,hust,25,1515.0,1793.0,0,1515.0,0,1.1691444906666666,0.0069410263741775825,0.0009379923076922919,-20.54784308998744,4.676198482697844,-221.80507317948752,0.005025125628140725
hust_1-5,hust,hust,50,1515.0,1793.0,0,1515.0,0,1.1744306848888888,0.007242456845450734,0.0004489164167000032,-3.233122202197606,5.547392404317871,-82.12034186485175,0.04020100502512569
hust_1-5,hust,hust,100,1515.0,1793.0,0,1515.0,0,1.176339188888889,0.005559757176046235,0.00010101074747473556,-14.257417662107471,6.902063564464593,-184.2058559714178,0.0201005025125629
hust_1-6,hust,hust,25,811.0,962.0,0,811.0,0,1.1942682346666667,0.0037619982031937053,-0.0005038762222222287,-14.141481724609434,4.931971018315221,-46.4677970864721,-0.035175879396984855
hust_1-6,hust,hust,50,811.0,962.0,0,811.0,0,1.190091856888889,0.005125676352039767,-0.00034588769694543454,-16.50884560821492,5.376550177907925,-58.99308639252524,0.0
hust_1-6,hust,hust,100,811.0,962.0,0,811.0,0,1.1837456324444444,0.00758972254298797,-0.0002586183599693365,-15.871106582716791,5.605667875017871,-35.36009944117711,0.0
hust_1-7,hust,hust,25,1307.0,1481.0,0,1307.0,0,1.1810638382222223,0.0020354675985996763,-0.0002736216581196855,0.6509481912430388,4.455410814174442,53.65534492519555,0.0
hust_1-7,hust,hust,50,1307.0,1481.0,0,1307.0,0,1.1788843653333334,0.0026877331861081067,-0.0001801893770841647,-7.415107046863717,6.120155246864687,8.294081013093518,0.0
hust_1-7,hust,hust,100,1307.0,1481.0,0,1307.0,0,1.1756329717777778,0.003915737222778778,-0.00013310893022636423,-21.60940069710153,5.684190180712559,-66.15910944517171,0.0
hust_1-8,hust,hust,25,1712.0,1974.0,0,1712.0,0,1.1861717146666668,0.002044837846262695,-0.00027361765811966785,-6.753016133079207,3.376662111793021,55.94240891918065,0.025125628140703515
hust_1-8,hust,hust,50,1712.0,1974.0,0,1712.0,0,1.1840787071111112,0.0026084223399025106,-0.0001735973930905605,-6.9692392098318905,2.72575919583976,-34.06576489140497,-0.01005025125628145
hust_1-8,hust,hust,100,1712.0,1974.0,0,1712.0,0,1.1811738235555556,0.003565569462575733,-0.0001201672257892416,1.3441018675845129,2.8886584925611443,-33.46295536602793,0.005025125628140725
