cell_id,dataset_prefix,n_cycles,cycle_life,eol_80pct_q0_label,is_censored_80pct_q0,Qd_mean,Qd_std,IR_mean,IR_std,IR_delta,IR_slope,Tavg_mean,dQd_slope
hust_1-1,hust,25,1347.0,1347.0,0,1.1697476782222223,0.00184825681079275,,,,,,-0.00024753740170940303
hust_1-1,hust,50,1347.0,1347.0,0,1.167726203111111,0.0024908669914205195,,,,,,-0.0001676064932639589
hust_1-1,hust,100,1347.0,1347.0,0,1.1645327668888887,0.003809741795386018,,,,,,-0.00013013259392606713
hust_1-2,hust,25,2244.0,2244.0,0,1.2002824995555557,0.0021496922927447216,,,,,,-0.00028821834188031775
hust_1-2,hust,50,2244.0,2244.0,0,1.1979050182222222,0.0029246839360318306,,,,,,-0.00019725904975322772
hust_1-2,hust,100,2244.0,2244.0,0,1.1943125464444442,0.00430846288746609,,,,,,-0.0001467101668833619
hust_1-3,hust,25,1687.0,1687.0,0,1.1759874284444445,0.006977155619021968,,,,,,0.0009392669572649669
hust_1-3,hust,50,1687.0,1687.0,0,1.1813224862222222,0.007297104402819804,,,,,,0.00045159936828065186
hust_1-3,hust,100,1687.0,1687.0,0,1.1832430406666667,0.005608914740562944,,,,,,0.0001011462824949112
hust_1-4,hust,25,1352.0,1352.0,0,1.1756053297777778,0.006635810607367908,,,,,,0.0008987328376068297
hust_1-4,hust,50,1352.0,1352.0,0,1.1808520751111111,0.007080875754398067,,,,,,0.0004444756814725803
hust_1-4,hust,100,1352.0,1352.0,0,1.1828161384444447,0.005491310774800542,,,,,,0.00010108339833983001
hust_1-5,hust,25,1793.0,1793.0,0,1.1691444906666666,0.0069410263741775825,,,,,,0.0009379923076922919
hust_1-5,hust,50,1793.0,1793.0,0,1.1744306848888888,0.007242456845450734,,,,,,0.0004489164167000032
hust_1-5,hust,100,1793.0,1793.0,0,1.176339188888889,0.005559757176046235,,,,,,0.00010101074747473556
hust_1-6,hust,25,962.0,962.0,0,1.1942682346666667,0.0037619982031937053,,,,,,-0.0005038762222222287
hust_1-6,hust,50,962.0,962.0,0,1.190091856888889,0.005125676352039767,,,,,,-0.00034588769694543454
