dataset,cell_id,n_cycles,delay_dim,rank,observable,q0,cycle_life,is_censored,dominant_eig_real,dominant_eig_imag,dominant_eig_abs,dominant_eig_angle,dominant_decay_rate,dominant_coeff_abs,dominant_coeff_fraction,spectral_radius,eig_abs_mean,eig_abs_std,top2_eig_abs,top3_eig_abs
matr,matr_b1c0,100,12,4,retention,1.072205,1717.0,0,0.9994533390149107,0.0,0.9994533390149107,0.0,0.0005468104586823107,3.596883742059367,0.9828994702406744,0.9994533390149107,0.8023872973037189,0.1611506003832551,0.6435159726460435,0.6435159726460435
matr,matr_b1c1,100,12,4,retention,1.0769552999999998,2066.0,0,0.9999826936801053,0.0,0.9999826936801053,0.0,1.7306469650798506e-05,3.479931385993071,0.9955579869538326,0.9999826936801053,0.894991813899704,0.0703667394904954,0.8016369601528094,0.8891738008829505
matr,matr_b1c10,100,12,4,retention,1.07650055,,1,1.000012061905344,0.0,1.000012061905344,0.0,-1.2061832599889824e-05,3.4740213715290458,0.9979516067818521,1.000012061905344,0.917683226969751,0.09592085337485165,0.754186719745799,0.9582670631139305
matr,matr_b1c11,100,12,4,retention,1.0554555,771.0,0,1.000013825826504,0.0,1.000013825826504,0.0,-1.382573092825192e-05,3.471773812023734,0.9983639030978505,1.000013825826504,0.8840904870678732,0.14185642098326834,0.6412022209167639,0.9475729507641123
matr,matr_b1c12,100,12,4,retention,1.0790143,897.0,0,0.9999955076498837,0.0,0.9999955076498837,0.0,4.4923602069824145e-06,3.474984527538718,0.9970972386297146,0.9999955076498837,0.9216288263338999,0.05908081328732246,0.8334651023228294,0.9265273476814432
matr,matr_b1c13,100,12,4,retention,1.0814757,,1,0.9999898802158796,0.0,0.9999898802158796,0.0,1.0119835325715637e-05,3.4745108965437264,0.9970729279852242,0.9999898802158796,0.921006147130478,0.06971200085147183,0.8085730854183348,0.9377308114438488
matr,matr_b1c14,100,12,4,retention,1.0722955,845.0,0,1.0000208522738117,0.0,1.0000208522738117,0.0,-2.085205640601637e-05,3.470314498501447,0.9982625332024742,1.0000208522738117,0.8849118808577481,0.09803596931790506,0.7288492954321566,0.9053886878625123
matr,matr_b1c15,100,12,4,retention,1.063235,699.0,0,1.000023690577873,0.0,1.000023690577873,0.0,-2.369029725568434e-05,3.470974898546501,0.9977936255989491,1.000023690577873,0.8540735024286475,0.14886665190915946,0.6050185545840805,0.9056258822763184
matr,matr_b1c16,100,12,4,retention,1.08287165,824.0,0,1.0000167479124191,0.0,1.0000167479124191,0.0,-1.6747772174404547e-05,3.4702662334558996,0.9980232147441337,1.0000167479124191,0.8835659828930869,0.11203788268138516,0.6983958179469637,0.9179256828564822
matr,matr_b1c17,100,12,4,retention,1.07360355,825.0,0,0.9999970029113346,0.0,0.9999970029113346,0.0,2.9970931566366247e-06,3.475587627294342,0.9967949320229306,0.9999970029113346,0.9333142193565652,0.04747669387479494,0.8657188363512653,0.9337705190818303
matr,matr_b1c18,100,12,4,retention,1.06710325,665.0,0,0.9995480985343119,0.0,0.9995480985343119,0.0,0.0004520036039275273,3.473327208289263,0.9967721685501509,0.9995480985343119,0.8911241708181734,0.08838039347080398,0.7531004293406057,0.905924077698888
matr,matr_b1c19,100,12,4,retention,1.0866477,740.0,0,0.9999746656087198,0.0,0.9999746656087198,0.0,2.5334712201273913e-05,3.473130733890517,0.9974885357187704,0.9999746656087198,0.8982141495494718,0.060961721440778556,0.8377309821426596,0.8775754752232539
