cell_id,provided_cycle_life,observed_cycles,q0,threshold_80pct_q0,min_qd,eol_recomputed,is_censored_recomputed,orig_batch,orig_cell_id,kept,reason,provided_minus_recomputed
matr_b1c0,1852.0,1851,1.0722049999999999,0.857764,0.0,,1,batch1,b1c0,True,,
matr_b1c1,2160.0,2159,1.0769552999999998,0.8615642399999999,0.0,,1,batch1,b1c1,True,,
matr_b1c11,788.0,787,1.0554554999999999,0.8443643999999999,0.0,,1,batch1,b1c11,True,,
matr_b1c14,880.0,879,1.0722955,0.8578364,0.0,,1,batch1,b1c14,True,,
matr_b1c15,719.0,718,1.063235,0.850588,0.0,,1,batch1,b1c15,True,,
matr_b1c16,862.0,861,1.08287165,0.86629732,0.0,,1,batch1,b1c16,True,,
matr_b1c17,857.0,856,1.07360355,0.8588828400000001,0.0,,1,batch1,b1c17,True,,
matr_b1c19,788.0,787,1.0866476999999999,0.86931816,0.0,,1,batch1,b1c19,True,,
matr_b1c2,2237.0,2236,1.0817747,0.86541976,0.0,,1,batch1,b1c2,True,,
matr_b1c20,534.0,533,1.07410775,0.8592862000000001,0.0,,1,batch1,b1c20,True,,
matr_b1c21,559.0,558,1.0840401499999999,0.8672321199999999,0.0,,1,batch1,b1c21,True,,
matr_b1c23,1014.0,1013,1.0809316,0.8647452800000001,0.0,,1,batch1,b1c23,True,,
matr_b1c24,1017.0,1016,1.0758532500000002,0.8606826000000002,0.0,,1,batch1,b1c24,True,,
matr_b1c25,854.0,853,1.0765048,0.8612038399999999,0.0,,1,batch1,b1c25,True,,
matr_b1c26,870.0,869,1.0891754,0.8713403200000001,0.0,,1,batch1,b1c26,True,,
matr_b1c27,842.0,841,1.0804401499999998,0.86435212,0.0,,1,batch1,b1c27,True,,
matr_b1c28,860.0,859,1.07937775,0.8635022,0.0,,1,batch1,b1c28,True,,
matr_b1c29,917.0,916,1.0809752000000001,0.8647801600000001,0.0,,1,batch1,b1c29,True,,
matr_b1c3,1434.0,1433,1.08161105,0.8652888400000001,0.0,,1,batch1,b1c3,True,,
matr_b1c30,709.0,708,1.08151455,0.8652116400000001,0.0,,1,batch1,b1c30,True,,
matr_b1c31,876.0,875,1.0963314,0.87706512,0.0,,1,batch1,b1c31,True,,
matr_b1c32,731.0,730,1.0792755,0.8634204000000001,0.0,,1,batch1,b1c32,True,,
matr_b1c33,757.0,756,1.0942233,0.87537864,0.0,,1,batch1,b1c33,True,,
matr_b1c34,742.0,741,1.07806275,0.8624502000000001,0.0,,1,batch1,b1c34,True,,
matr_b1c35,703.0,702,1.07233895,0.8578711600000001,0.0,,1,batch1,b1c35,True,,
matr_b1c36,704.0,703,1.0795122,0.86360976,0.0,,1,batch1,b1c36,True,,
matr_b1c37,648.0,647,1.0763612999999999,0.86108904,0.0,,1,batch1,b1c37,True,,
matr_b1c39,625.0,624,1.08353305,0.8668264400000001,0.0,,1,batch1,b1c39,True,,
matr_b1c4,1709.0,1708,1.0793795,0.8635036,0.0,,1,batch1,b1c4,True,,
matr_b1c41,1051.0,1050,1.0806673,0.86453384,0.0,,1,batch1,b1c41,True,,
matr_b1c42,702.0,701,1.08175435,0.86540348,0.0,,1,batch1,b1c42,True,,
matr_b1c45,599.0,598,1.08563255,0.86850604,0.0,,1,batch1,b1c45,True,,
matr_b1c5,1074.0,1073,1.07712635,0.86170108,0.0,,1,batch1,b1c5,True,,
matr_b1c6,636.0,635,1.0778327,0.8622661600000001,0.0,,1,batch1,b1c6,True,,
matr_b1c7,870.0,869,1.09553235,0.8764258800000001,0.0,,1,batch1,b1c7,True,,
matr_b1c9,1054.0,1053,1.08395785,0.8671662800000001,0.0,,1,batch1,b1c9,True,,
matr_b2c0,300.0,326,1.0719096000000001,0.8575276800000001,0.8264913,311.0,0,batch2,b2c0,True,,-11.0
matr_b2c1,148.0,170,1.07248825,0.8579905999999999,0.82657939,158.0,0,batch2,b2c1,True,,-10.0
matr_b2c10,561.0,596,1.0710426499999999,0.8568341199999999,0.82751918,577.0,0,batch2,b2c10,True,,-16.0
matr_b2c11,477.0,505,1.07343895,0.85875116,0.82509011,488.0,0,batch2,b2c11,True,,-11.0
matr_b2c12,458.0,491,1.0725753999999998,0.8580603199999999,0.82620364,472.0,0,batch2,b2c12,True,,-14.0
matr_b2c13,483.0,520,1.08202135,0.86561708,0.82540792,493.0,0,batch2,b2c13,True,,-10.0
matr_b2c14,485.0,509,1.07991415,0.8639313200000001,0.82620102,492.0,0,batch2,b2c14,True,,-7.0
matr_b2c17,494.0,525,1.0699553000000002,0.8559642400000002,0.82570732,507.0,0,batch2,b2c17,True,,-13.0
matr_b2c18,487.0,523,1.065198,0.8521584000000001,0.82509476,506.0,0,batch2,b2c18,True,,-19.0
matr_b2c19,461.0,489,1.0485685,0.8388548,0.8257733,483.0,0,batch2,b2c19,True,,-22.0
matr_b2c2,438.0,464,1.0759115000000001,0.8607292000000002,0.82514477,448.0,0,batch2,b2c2,True,,-10.0
matr_b2c20,502.0,531,1.0852503,0.8682002400000001,0.8267718,509.0,0,batch2,b2c20,True,,-7.0
matr_b2c21,489.0,520,1.07867965,0.8629437200000001,0.82639283,499.0,0,batch2,b2c21,True,,-10.0
matr_b2c22,513.0,540,1.08183005,0.86546404,0.82699382,521.0,0,batch2,b2c22,True,,-8.0
matr_b2c23,527.0,562,1.0766412,0.8613129600000001,0.82585847,540.0,0,batch2,b2c23,True,,-13.0
matr_b2c24,495.0,524,1.0693633,0.8554906400000001,0.82620329,509.0,0,batch2,b2c24,True,,-14.0
matr_b2c25,461.0,487,1.069292,0.8554336,0.82600635,473.0,0,batch2,b2c25,True,,-12.0
matr_b2c26,471.0,498,1.0793722,0.86349776,0.82580936,480.0,0,batch2,b2c26,True,,-9.0
matr_b2c27,468.0,495,1.06796175,0.8543694000000001,0.82601935,482.0,0,batch2,b2c27,True,,-14.0
matr_b2c28,509.0,541,1.07377875,0.8590230000000001,0.82679296,524.0,0,batch2,b2c28,True,,-15.0
matr_b2c3,335.0,361,1.06791905,0.85433524,0.82551384,348.0,0,batch2,b2c3,True,,-13.0
matr_b2c30,481.0,507,1.0687631999999998,0.8550105599999999,0.82608002,494.0,0,batch2,b2c30,True,,-13.0
matr_b2c31,492.0,519,1.07547345,0.8603787600000001,0.82631207,502.0,0,batch2,b2c31,True,,-10.0
matr_b2c32,519.0,544,1.0761951,0.8609560800000001,0.82708538,528.0,0,batch2,b2c32,True,,-9.0
matr_b2c33,520.0,546,1.080848,0.8646784000000001,0.82591307,528.0,0,batch2,b2c33,True,,-8.0
matr_b2c34,499.0,526,1.0705366,0.8564292800000001,0.82694751,512.0,0,batch2,b2c34,True,,-13.0
matr_b2c35,463.0,486,1.07004715,0.85603772,0.82589579,473.0,0,batch2,b2c35,True,,-10.0
matr_b2c36,535.0,560,1.08043095,0.86434476,0.82715714,543.0,0,batch2,b2c36,True,,-8.0
matr_b2c37,478.0,502,1.0765482,0.86123856,0.8266471,487.0,0,batch2,b2c37,True,,-9.0
matr_b2c38,465.0,487,1.0714282000000002,0.8571425600000002,0.82531422,474.0,0,batch2,b2c38,True,,-9.0
matr_b2c39,459.0,480,1.08057815,0.86446252,0.82742006,465.0,0,batch2,b2c39,True,,-6.0
