cell_id,dataset_prefix,n_cycles,eol_80pct_q0_label,IR_delta,dQd_slope,Qd_mean,IR_slope,Tavg_mean,IR_mean,Qd_std,IR_std,is_censored_80pct_q0,cycle_life
b1c0,b1,25,1980.0,0.016572051,0.0097340404615384,1.050162108,0.0001477609523076,30.398941981871612,0.01604543288,0.2328620382546814,0.0033073018000786,0,
b1c0,b1,50,1980.0,0.016621681,0.0020062379687875,1.063358666,3.530063510204082e-05,30.97851992846357,0.01632425832,0.1651866283509057,0.002355214431864,0,
b1c0,b1,100,1980.0,0.016667154,0.0004412743288328,1.0697906089999998,9.294473111311103e-06,31.28770985553454,0.01647688882,0.1169821094902926,0.0016728306004161,0,
b1c1,b1,25,2099.0,0.016898235,0.0101951224615384,1.037350396,0.0001663935846153,30.24617377107907,0.0155371125199999,0.2117587994225439,0.0045818932255699,0,
b1c1,b1,50,2099.0,0.016904702,0.0026079567731092,1.0596138279999998,6.19654286194479e-05,30.745152082666554,0.01622508702,0.1513821647506879,0.0033121626235516,0,
b1c1,b1,100,2099.0,0.01699684,0.0006476957569756,1.070434411,1.869190525052503e-05,31.017011163858175,0.0165833349799999,0.1075891664288397,0.0023695974412413,0,
b1c10,b1,25,906.0,0.016520184,0.010202641,1.03670392,0.0001643427061538,31.937202622933142,0.01519391908,0.2116288951954699,0.0044806235651981,1,
b1c10,b1,50,906.0,0.016550977,0.0026474762304922,1.059588522,6.079326775510199e-05,32.5264227836059,0.01586231798,0.1513839592196852,0.0032380358027849,1,
b1c10,b1,100,906.0,0.016675979,0.0006671374389438,1.070887572,1.9048915463546303e-05,32.87606916177769,0.01623268906,0.1076396041437491,0.0023198582954067,1,
b1c11,b1,25,788.0,0.016136453,0.0099829789230769,1.0161635480000002,0.0001438379392307,31.500508991486317,0.0149578708,0.2074345104775348,0.0044140260170582,1,
b1c11,b1,50,788.0,0.016156863,0.0025856886674669,1.03846053,5.366209503001214e-05,32.07812027438441,0.0155508857,0.1483633933964753,0.0031770370038328,1,
b1c11,b1,100,788.0,0.0162715,0.0006509144020402,1.049483047,1.6853213951395083e-05,32.4317293801687,0.01587671327,0.105486571258053,0.0022706323527367,1,
b1c12,b1,25,902.0,0.01642056,0.0101212547692307,1.0379415,0.0001481262523076,32.04395405317677,0.0157741638,0.2118724079384552,0.0032200987600403,1,
b1c12,b1,50,902.0,0.016425503,0.0026055516206482,1.06025857,3.767969786314517e-05,32.7154514180094,0.01609379956,0.1514695367632637,0.0022992953777801,1,
b1c12,b1,100,902.0,0.016531222,0.0006550641458145,1.071333671,1.059726580858083e-05,33.12344169500137,0.0162746656699999,0.1076765111558684,0.0016365674618405,1,
b1c13,b1,25,897.0,0.01700953,0.0101375451538461,1.040262164,0.0001533287146153,30.717414016852896,0.01634603724,0.2123460078364137,0.0033368523221061,1,
b1c13,b1,50,897.0,0.017027462,0.0026019620168067,1.062518092,3.94016881632654e-05,31.365260832695217,0.016681288,0.1517917745163931,0.002383222434554,1,
b1c13,b1,100,897.0,0.01714633,0.0006484489558955,1.073430505,1.112547391539149e-05,31.771244679727488,0.01686618544,0.1078869247413164,0.0016968731590132,1,
b1c14,b1,25,880.0,0.01690465,0.010053379,1.031491084,0.0001493062953846,31.763813160997593,0.01633488456,0.2105574491956923,0.0033465110944778,1,
b1c14,b1,50,880.0,0.016963098,0.0026083298919567,1.053992784,3.694391255702274e-05,32.37269099210505,0.01663472034,0.1505774135627868,0.0023852966677737,1,
b1c14,b1,100,880.0,0.017053071,0.0006647239531953,1.065341888,1.0077067110710994e-05,32.746688171939034,0.01680525182,0.1070777780860896,0.0016967550464953,1,
b1c15,b1,25,719.0,0.016733406,0.0100024462307692,1.023179456,0.000139097266923,31.738493317351377,0.01619668296,0.2088628805657129,0.0033201605877401,1,
b1c15,b1,50,719.0,0.016804634,0.002601110722689,1.045653832,3.495914751500589e-05,32.38646720800082,0.01648352626,0.1493886462696565,0.0023652221569589,1,
b1c15,b1,100,719.0,0.016914751,0.0006624381236123,1.0569803169999998,1.05619611341134e-05,32.816242903351714,0.01667158657,0.106239569521882,0.0016847157786408,1,
b1c16,b1,25,862.0,0.016661555,0.0101411451538461,1.041531728,0.0001498199261538,31.024852740313776,0.0153423331999999,0.2126067674953373,0.0045244516875571,1,
b1c16,b1,50,862.0,0.016694959,0.0026297751644657,1.064214576,5.907525752701079e-05,31.651737360855915,0.01601110872,0.1520372927761614,0.003268440311967,1,
b1c16,b1,100,862.0,0.016816031,0.0006678998049804,1.075604861,1.841120882088214e-05,32.092990921249715,0.01636357366,0.1081089186715461,0.0023393900756826,1,
b1c17,b1,25,857.0,0.016638942,0.0100859309999999,1.03281104,0.0001501336415384,30.650231581411227,0.01597914712,0.2108257514192931,0.0032619844910797,1,
b1c17,b1,50,857.0,0.016690899,0.0026006180120048,1.055136222,3.951949406962799e-05,31.308889611664902,0.01632098036,0.1507387374007813,0.0023317901420452,1,
b1c17,b1,100,857.0,0.016800802,0.0006572200480048,1.0663351739999998,1.1390297953795375e-05,31.767866319949093,0.01650946526,0.1071757976488289,0.0016625835946329,1,
b1c18,b1,25,691.0,0.019886132,0.0099909459230769,1.026469336,0.0001835642953846,30.07463772106011,0.01909068672,0.2095300757635101,0.0038968701086105,1,
b1c18,b1,50,691.0,0.019886132,0.0050609463817526,1.084283868,4.679089882352921e-05,30.712150402856373,0.01948840936,0.2975114608847232,0.0027840584799999,1,
b1c18,b1,100,691.0,0.015891589,0.000359619080108,1.0755789489999998,-4.744324481848189e-05,31.512746702861836,0.01782470687,0.2105546447291959,0.0026620532457676,1,
b1c19,b1,25,788.0,0.016303297,0.0101509153846153,1.044837548,0.0001474127699999,31.634351263283875,0.0156497106399999,0.2132789007574262,0.0031947764059463,1,
b1c19,b1,50,788.0,0.016328191,0.0025900223337334,1.066893318,3.818243447779104e-05,32.32069655240128,0.0159782074,0.1524152443037358,0.0022828432468687,1,
b1c19,b1,100,788.0,0.01638364,0.0006365072817281,1.0774847869999995,1.0567779219922076e-05,32.713644543106625,0.01616162039,0.1082939910784145,0.0016249009284582,1,
b1c2,b1,25,1976.0,0.01674987,0.0101869846923076,1.04115918,0.0001668292399999,30.398499446710098,0.0153828732399999,0.2125327233642085,0.0045364354053853,0,
b1c2,b1,50,1976.0,0.016749149,0.002613700542617,1.063500544,6.201866223289312e-05,30.889876226120183,0.0160714333,0.1519349173208346,0.0032808647690254,0,
b1c2,b1,100,1976.0,0.016854173,0.0006547647830783,1.074517485,1.88166644524452e-05,31.164788272079093,0.01643359903,0.1079978422958295,0.0023483799264254,0,
b1c20,b1,25,534.0,0.015240522,0.0098886274615384,1.03125774,0.0001281654938461,30.971787172882895,0.0141631219199999,0.2105095811079486,0.0041782466180476,1,
b1c20,b1,50,534.0,0.015167462,0.0024593392749099,1.051914956,4.654581767106839e-05,31.508742714837176,0.0146775817399999,0.1502805697939559,0.0029989609836482,1,
b1c20,b1,100,534.0,0.015160209,0.0004999247458745,1.059142675,1.2649842466246669e-05,31.83139279736961,0.0149061587699999,0.1065284121713999,0.0021329748575357,1,
b1c21,b1,25,559.0,0.015006334,0.010020101076923,1.041071564,0.0001341839838461,31.93027410248627,0.01391447172,0.2125128215856067,0.0041039648890371,1,
b1c21,b1,50,559.0,0.015000514,0.0025398337623049,1.06266061,4.864099908763509e-05,32.52802005315853,0.0144530258,0.1518124539218693,0.0029516595834156,1,
b1c21,b1,100,559.0,0.015144967,0.0005635516297629,1.071404233,1.6148156717671713e-05,32.80560397424297,0.01478843151,0.1077112610267989,0.0021141635554463,1,
b1c22,b1,25,891.0,0.01655459,0.0100972342307692,1.039502196,0.0001476860384615,31.421911547412897,0.0159148873999999,0.2121900148858838,0.0032490095279499,1,
b1c22,b1,50,891.0,0.016498478,0.002581638967587,1.0615359060000005,3.80371226890756e-05,32.09658038427867,0.016238957,0.1516502305273136,0.0023201828099199,1,
b1c22,b1,100,891.0,0.016682273,0.0006367991797179,1.072150017,1.1032426576657644e-05,32.51547371038611,0.0164260535699999,0.1077576464368743,0.0016529612459651,1,
b1c23,b1,25,1014.0,0.016784169,0.0100693594615384,1.039110508,0.0001502247784615,30.60379118546812,0.01612978244,0.2121094098150517,0.0032928032644208,1,
b1c23,b1,50,1014.0,0.016717058,0.0025708149579831,1.061006362,3.888141411764704e-05,31.260565441766612,0.01646239986,0.1515738563124101,0.0023520560689092,1,
b1c23,b1,100,1014.0,0.016928671,0.0006363017251725,1.0716364470000002,1.1342665742574274e-05,31.670866801703188,0.01665576256,0.1077053865423735,0.0016761780869325,1,
b1c24,b1,25,1017.0,0.01655318,0.010040086076923,1.034433736,0.0001487917130769,31.97371434184674,0.0158891173599999,0.2111550342705584,0.0032436625538711,1,
b1c24,b1,50,1017.0,0.016568888,0.0025750292388955,1.056447874,3.842121402160853e-05,32.64142893697245,0.0162187302,0.1509234989538406,0.00231720331868,1,
b1c24,b1,100,1017.0,0.016682969,0.0006423798865886,1.0672528549999998,1.1367200156015544e-05,33.04428331230595,0.0164215744,0.1072652976480878,0.0016517469026874,1,
b1c25,b1,25,854.0,0.016558962,0.0100629187692307,1.035203368,0.0001487816161538,32.43295101332044,0.01590506256,0.2113125174541588,0.0032469139908131,1,
b1c25,b1,50,854.0,0.016588176,0.0025833396782713,1.05730716,3.8270645330131954e-05,33.11024456360347,0.01623271666,0.1510465868182661,0.0023192001783667,1,
b1c25,b1,100,854.0,0.016688013,0.0006413974311431,1.0680594090000002,1.120358279027897e-05,33.5100715032098,0.0164301803799999,0.1073464494034591,0.0016525277155489,1,
b1c26,b1,25,870.0,0.016244587,0.0101531276923076,1.047132112,0.000146052016923,31.74028399964375,0.0155969040799999,0.2137468879481772,0.0031839685659217,1,
b1c26,b1,50,870.0,0.016289866,0.0025891676110444,1.069164686,3.787191366146462e-05,32.41946839789173,0.01592001932,0.1527395398246858,0.0022745105753282,1,
b1c26,b1,100,870.0,0.016389275,0.0006331072481248,1.0796685450000003,1.125821116111614e-05,32.82484992054074,0.01612263692,0.1085141614914112,0.0016216205706471,1,
b1c27,b1,25,842.0,0.016052196,0.0100794745384615,1.038770428,0.0001448019953846,32.44214417273616,0.01540748352,0.2120401315330105,0.0031452746336892,1,
b1c27,b1,50,842.0,0.016091034,0.0025728483793517,1.060704798,3.778889354141659e-05,33.14170698269336,0.01573166144,0.1515310718545665,0.0022475819594919,1,
